# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.073
     GPU 2  0.047
     GPU 2  0.104
     GPU 2  0.093
     GPU 2  0.066
     GPU 2  0.131
     GPU 2  0.083
     GPU 2  0.088
     GPU 2  0.073
     GPU 2  0.119

# Entity  SMACT
      Id       
     GPU 2  0.062
     GPU 2  0.073
     GPU 2  0.083
     GPU 2  0.078
     GPU 2  0.068
     GPU 2  0.051
     GPU 2  0.084
     GPU 2  0.068
     GPU 2  0.073
     GPU 2  0.104
     GPU 2  0.104
     GPU 2  0.083
     GPU 2  0.081
     GPU 2  0.112

# Entity  SMACT
      Id       
     GPU 2  0.114
     GPU 2  0.083
     GPU 2  0.078
     GPU 2  0.057
     GPU 2  0.074
     GPU 2  0.087
     GPU 2  0.068
     GPU 2  0.097
     GPU 2  0.101
     GPU 2  0.068
     GPU 2  0.078
     GPU 2  0.094
     GPU 2  0.078
     GPU 2  0.073

# Entity  SMACT
      Id       
     GPU 2  0.048
     GPU 2  0.092
     GPU 2  0.101
     GPU 2  0.035
     GPU 2  0.052
     GPU 2  0.085
     GPU 2  0.094
     GPU 2  0.088
     GPU 2  0.109
     GPU 2  0.099
     GPU 2  0.094
     GPU 2  0.056
     GPU 2  0.081
     GPU 2  0.083

# Entity  SMACT
      Id       
     GPU 2  0.052
     GPU 2  0.093
     GPU 2  0.056
     GPU 2  0.101
     GPU 2  0.102
     GPU 2  0.061
     GPU 2  0.078
     GPU 2  0.042
     GPU 2  0.000
     GPU 2  0.000
