# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.021
     GPU 2  0.047
     GPU 2  0.026
     GPU 2  0.021
     GPU 2  0.042
     GPU 2  0.054
     GPU 2  0.034
     GPU 2  0.068
     GPU 2  0.036
     GPU 2  0.031
     GPU 2  0.036

# Entity  SMACT
      Id       
     GPU 2  0.083
     GPU 2  0.068
     GPU 2  0.016
     GPU 2  0.062
     GPU 2  0.045
     GPU 2  0.022
     GPU 2  0.051
     GPU 2  0.026
     GPU 2  0.063
     GPU 2  0.046
     GPU 2  0.036
     GPU 2  0.031
     GPU 2  0.052
     GPU 2  0.036

# Entity  SMACT
      Id       
     GPU 2  0.042
     GPU 2  0.036
     GPU 2  0.031
     GPU 2  0.029
     GPU 2  0.057
     GPU 2  0.016
     GPU 2  0.021
     GPU 2  0.042
     GPU 2  0.048
     GPU 2  0.030
     GPU 2  0.036
     GPU 2  0.026
     GPU 2  0.036
     GPU 2  0.067

# Entity  SMACT
      Id       
     GPU 2  0.036
     GPU 2  0.052
     GPU 2  0.062
     GPU 2  0.036
     GPU 2  0.042
     GPU 2  0.046
     GPU 2  0.031
     GPU 2  0.052
     GPU 2  0.062
     GPU 2  0.057
     GPU 2  0.073
     GPU 2  0.031
     GPU 2  0.042
     GPU 2  0.042

# Entity  SMACT
      Id       
     GPU 2  0.020
     GPU 2  0.050
     GPU 2  0.031
     GPU 2  0.036
     GPU 2  0.021
     GPU 2  0.052
     GPU 2  0.049
     GPU 2  0.003
     GPU 2  0.000
     GPU 2  0.000
