# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.057
     GPU 2  0.140
     GPU 2  0.174
     GPU 2  0.195
     GPU 2  0.142
     GPU 2  0.170
     GPU 2  0.128
     GPU 2  0.138
     GPU 2  0.118
     GPU 2  0.122
     GPU 2  0.179

# Entity  SMACT
      Id       
     GPU 2  0.140
     GPU 2  0.208
     GPU 2  0.122
     GPU 2  0.123
     GPU 2  0.128
     GPU 2  0.188
     GPU 2  0.128
     GPU 2  0.146
     GPU 2  0.133
     GPU 2  0.132
     GPU 2  0.107
     GPU 2  0.117
     GPU 2  0.194
     GPU 2  0.177

# Entity  SMACT
      Id       
     GPU 2  0.119
     GPU 2  0.133
     GPU 2  0.124
     GPU 2  0.183
     GPU 2  0.111
     GPU 2  0.137
     GPU 2  0.133
     GPU 2  0.133
     GPU 2  0.160
     GPU 2  0.110
     GPU 2  0.165
     GPU 2  0.138
     GPU 2  0.136
     GPU 2  0.158

# Entity  SMACT
      Id       
     GPU 2  0.179
     GPU 2  0.181
     GPU 2  0.206
     GPU 2  0.160
     GPU 2  0.123
     GPU 2  0.142
     GPU 2  0.178
     GPU 2  0.132
     GPU 2  0.181
     GPU 2  0.137
     GPU 2  0.206
     GPU 2  0.169
     GPU 2  0.128
     GPU 2  0.127

# Entity  SMACT
      Id       
     GPU 2  0.157
     GPU 2  0.144
     GPU 2  0.105
     GPU 2  0.122
     GPU 2  0.175
     GPU 2  0.151
     GPU 2  0.114
     GPU 2  0.037
     GPU 2  0.000
     GPU 2  0.000
