# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.010
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.010
     GPU 2  0.000

# Entity  SMACT
      Id       
     GPU 2  0.010
     GPU 2  0.010
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.010
     GPU 2  0.004
     GPU 2  0.002
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000

# Entity  SMACT
      Id       
     GPU 2  0.010
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.010
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.010
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.005

# Entity  SMACT
      Id       
     GPU 2  0.016
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.005
     GPU 2  0.010
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.010
     GPU 2  0.010
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000

# Entity  SMACT
      Id       
     GPU 2  0.005
     GPU 2  0.016
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.021
     GPU 2  0.000
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
