# Entity  SMACT
      Id       
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.000
     GPU 2  0.015
     GPU 2  0.011
     GPU 2  0.021
     GPU 2  0.026
     GPU 2  0.010
     GPU 2  0.016
     GPU 2  0.010
     GPU 2  0.005
     GPU 2  0.031
     GPU 2  0.016
     GPU 2  0.026

# Entity  SMACT
      Id       
     GPU 2  0.031
     GPU 2  0.010
     GPU 2  0.030
     GPU 2  0.012
     GPU 2  0.042
     GPU 2  0.010
     GPU 2  0.026
     GPU 2  0.016
     GPU 2  0.016
     GPU 2  0.021
     GPU 2  0.021
     GPU 2  0.031
     GPU 2  0.047
     GPU 2  0.036

# Entity  SMACT
      Id       
     GPU 2  0.031
     GPU 2  0.010
     GPU 2  0.010
     GPU 2  0.031
     GPU 2  0.026
     GPU 2  0.015
     GPU 2  0.036
     GPU 2  0.000
     GPU 2  0.026
     GPU 2  0.010
     GPU 2  0.031
     GPU 2  0.021
     GPU 2  0.006
     GPU 2  0.023

# Entity  SMACT
      Id       
     GPU 2  0.054
     GPU 2  0.020
     GPU 2  0.016
     GPU 2  0.026
     GPU 2  0.010
     GPU 2  0.016
     GPU 2  0.010
     GPU 2  0.026
     GPU 2  0.026
     GPU 2  0.021
     GPU 2  0.016
     GPU 2  0.010
     GPU 2  0.031
     GPU 2  0.016

# Entity  SMACT
      Id       
     GPU 2  0.021
     GPU 2  0.010
     GPU 2  0.021
     GPU 2  0.021
     GPU 2  0.010
     GPU 2  0.026
     GPU 2  0.031
     GPU 2  0.005
     GPU 2  0.000
     GPU 2  0.000
