timestamp,name,loc,duration,tag,rank
1736345219193.47,wait_valid_batch,none,0.00,,0
1736345219193.62,batch_01_022_32,none,162.86,finish,0
1736345219356.53,wait_valid_batch,none,0.00,,0
1736345219356.68,batch_01_023_32,none,162.97,finish,0
1736345219519.69,wait_valid_batch,none,0.00,,0
1736345219519.84,batch_01_024_32,none,162.88,finish,0
1736345219682.76,wait_valid_batch,none,0.00,,0
1736345219682.91,batch_01_025_32,none,162.92,finish,0
1736345219845.88,wait_valid_batch,none,0.00,,0
1736345219846.04,batch_01_026_32,none,162.86,finish,0
1736345220008.95,wait_valid_batch,none,0.00,,0
1736345220009.10,batch_01_027_32,none,163.04,finish,0
1736345220172.19,wait_valid_batch,none,0.00,,0
1736345220172.34,batch_01_028_32,none,162.85,finish,0
1736345220335.24,wait_valid_batch,none,0.00,,0
1736345220335.39,batch_01_029_32,none,162.93,finish,0
1736345220498.37,wait_valid_batch,none,0.00,,0
1736345220498.51,batch_01_030_32,none,162.90,finish,0
1736345220661.46,wait_valid_batch,none,0.00,,0
1736345220661.61,batch_01_031_20,none,134.62,finish,0
1736345220765.88,optimizer_step,none,19.54,,0
1736345220796.34,epoch_02_1000,none,5156.74,,0
1736345220796.42,wait_valid_batch,none,0.00,,0
1736345220796.58,batch_02_000_32,none,159.41,finish,0
1736345220796.58,global_batch_02_000_500,none,2577.86,finish,0
1736345220956.04,wait_valid_batch,none,0.00,,0
1736345220956.19,batch_02_001_32,none,162.81,finish,0
1736345221119.04,wait_valid_batch,none,0.00,,0
1736345221119.19,batch_02_002_32,none,162.84,finish,0
1736345221282.07,wait_valid_batch,none,0.00,,0
1736345221282.22,batch_02_003_32,none,162.84,finish,0
1736345221445.10,wait_valid_batch,none,0.22,,0
1736345221445.48,batch_02_004_32,none,162.90,finish,0
1736345221608.43,wait_valid_batch,none,0.00,,0
1736345221608.57,batch_02_005_32,none,162.89,finish,0
1736345221771.51,wait_valid_batch,none,0.00,,0
1736345221771.66,batch_02_006_32,none,162.91,finish,0
1736345221934.62,wait_valid_batch,none,0.00,,0
1736345221934.77,batch_02_007_32,none,162.90,finish,0
1736345222097.72,wait_valid_batch,none,0.00,,0
1736345222097.86,batch_02_008_32,none,162.93,finish,0
1736345222260.84,wait_valid_batch,none,0.00,,0
1736345222261.00,batch_02_009_32,none,162.88,finish,0
1736345222423.94,wait_valid_batch,none,0.00,,0
1736345222424.09,batch_02_010_32,none,162.98,finish,0
1736345222587.12,wait_valid_batch,none,0.00,,0
